#,Date,Type,Action,Mandatory,General,Source
1,4/2/2020,International flights,Monitor flights from/to china ,1,1,https://www.spa.gov.sa/2030413
2,8/2/2020,International flights,Suspending flights to china,1,1,https://www.spa.gov.sa/2031113
3,21/2/2020,International flights,Suspending flights to Iran,1,1,https://www.spa.gov.sa/2037600
4,26/2/2020,International flights,Suspending flights to Saudi for Hajj or Omrah,1,0,https://www.spa.gov.sa/2039971
5,26/2/2020,International flights,Suspending flights to Saudi from infected countries,1,1,
6,26/2/2020,Domestic flights,Suspending using National ID to travel to Gulf countries,1,1,
7,8/3/2020,Domestic flights,Closing Qateef borders,1,0,https://www.spa.gov.sa/2044277
8,9/3/2020,International flights,"Banding flights to Oman, Spain, Turkey, france and Germany",1,1,https://www.spa.gov.sa/2044277
9,9/3/2020,School closure,School suspension,1,1,https://www.spa.gov.sa/2044433
10,14/3/2020,International flights,Suspending flights to Saudi from infected countries,1,1,https://www.spa.gov.sa/2046764
11,15/3/2020,other,Extending visa,1,1,https://www.spa.gov.sa/2047803
12,15/3/2020,International flights,Suspending international flights,1,1,https://www.spa.gov.sa/2047470
13,15/3/2020,Work from home,Public and private sector work suspension,1,1,https://www.spa.gov.sa/2047983
14,15/3/2020,Public events,"Malls, public places shutdown",1,1,
15,20/3/2020,Public transport,"Suspending taxis, train trips, public transportion",1,1,https://www.spa.gov.sa/2049546
16,20/3/2020,Domestic flights,Suspending domestic flights,1,1,https://www.spa.gov.sa/2049547
17,23/3/2020,Home lockdown,part-time home lockdown,1,1,https://www.spa.gov.sa/2050407
18,28/3/2020,Work from home,Extindeing public and private sector work suspension,1,1,https://www.spa.gov.sa/2052466
19,28/3/2020,Domestic flights,Extindeing suspending domestic flights,1,1,https://www.spa.gov.sa/2052467
20,28/3/2020,Public transport,"Extindeing suspending taxis, train trips, public transportion",1,1,https://www.spa.gov.sa/2052468
21,29/3/2020,Home lockdown,"Extending home lockdown hours in Jeddah, Closing Jeddah borders",1,0,https://www.spa.gov.sa/2052550
22,4/4/2020,Home lockdown,24 lockdown in selected areas in jeddah,0,0,https://www.spa.gov.sa/viewfullstory.php?lang=ar&newsid=2070209
23,8/4/2020,Home lockdown,"24 lockdown in jeddah, Riydah, Damman, Tabuk, Dahran, Alhafouf, Taif, Qateef and khobar",1,0,https://www.spa.gov.sa/2070988
24,10/4/2020,Home lockdown,24 lockdown in selected areas in Madina,1,0,https://www.moi.gov.sa/wps/portal/Home/Home/dp-home/!ut/p/z1/rVLLTsMwEPyVXnJMvXkHbqZISWgpKlUf8SVyUucBjZ2moaF8PU7LpUCLEPhg2aPZ3RnNIoKWiHC6KzLaFILTtfyHxI6uJt7A9019CGMXAAdjPB_egwFTGy1OCZ6GbUlw9AcILM0LdEQu188RQSThTdXkKCxF0VsVLeUKdM9clKyXCN4w3vRorUAHKMBZuz3eEkzyYscO9KhDIg1UMFUddKARrbvmVVKsUGg4jm6n1FFdLXZUU4st1XW1lRpbtpNqtsWSJP1s5qvazgycORhkPTlQBh72TWcE4I48CwLszx6vJoYB2PggXOgxlapDqcM5q0PX0WJXsBbNuKhLGdL0lzZ9uDzBM60_Trj7KXa5V8XTZkOwDL8L-LVBy_9PX8rI1iI-7jHmseFmiNQsZTWr-y-1hPOmqbbXCijQtm0_EyJbs34iSgW-K8nFVuo8ZaKqnJWusVef09ubseoNYndvvI3Y4h3AHbZK/dz/d5/L2dBISEvZ0FBIS9nQSEh/
25,12/4/2020,other,Issuing permissions,1,1,https://www.moi.gov.sa/wps/portal/Home/Home/dp-home/!ut/p/z0/fY6xDoIwEIZfhaUjubMSomPjAEokMSSKXZqKjVSlFWzAx7fF3eVy9_1fLj9wqIEbOeqbdNoa-fT3madifcg2eZ7QAssVItuW7FjscYlVCpUcYAf8v-S_6Hvfcwa8scapj4O6szq66kkagmFtbaeiOTQukgPBAAgaNb1_08Om1aOadRGIWNAYk5gixYvwNV6P7PQFLkp_Cw!!/
