Year;Age Groups;Nationality;Gender;Population
2018;60 - 64;Non-Saudi;Female;49848
2016;45 - 49;Saudi;Female;511696
2016;50 - 54;Non-Saudi;Female;98491
2017;25 - 29;Saudi;Female;958219
2017;60 - 64;Saudi;Female;231960
2018;25 - 29;Saudi;Male;996017
2018;35 - 39;Saudi;Female;768617
2018;45 - 49;Non-Saudi;Male;1021389
2016;80+;Non-Saudi;Female;6359
2017;0 - 4;Non-Saudi;Male;287003
2018;45 - 49;Saudi;Male;559539
2018;65 - 69;Non-Saudi;Male;77344
2018;25 - 29;Non-Saudi;Female;453068
2018;70 - 74;Non-Saudi;Female;19851
2016;0 - 4;Non-Saudi;Male;276227
2016;50 - 54;Non-Saudi;Male;644397
2016;40 - 44;Saudi;Female;619628
2016;65 - 69;Non-Saudi;Female;28410
2017;50 - 54;Non-Saudi;Female;102938
2018;0 - 4;Saudi;Male;1123261
2016;35 - 39;Saudi;Male;760653
2016;10 - 14;Non-Saudi;Male;287737
2017;75 - 79;Non-Saudi;Female;4718
2018;30 - 34;Saudi;Male;896790
2018;70 - 74;Saudi;Male;111979
2018;80+;Saudi;Female;93348
2018;30 - 34;Non-Saudi;Female;450453
2016;75 - 79;Saudi;Male;69594
2017;80+;Non-Saudi;Male;12595
2017;20 - 24;Non-Saudi;Female;215931
2018;5 - 9;Saudi;Male;1097810
2018;25 - 29;Saudi;Female;975252
2016;80+;Saudi;Female;89919
2017;30 - 34;Saudi;Male;882178
2017;75 - 79;Saudi;Male;70770
2017;40 - 44;Non-Saudi;Male;1336843
2017;35 - 39;Non-Saudi;Female;559211
2018;70 - 74;Saudi;Female;114965
2018;0 - 4;Non-Saudi;Male;298126
2016;70 - 74;Non-Saudi;Male;32802
2016;70 - 74;Non-Saudi;Female;18347
2017;5 - 9;Saudi;Female;1043747
2017;65 - 69;Saudi;Female;159559
2017;70 - 74;Saudi;Female;112808
2017;35 - 39;Non-Saudi;Male;1415664
2017;60 - 64;Non-Saudi;Male;214599
2017;65 - 69;Non-Saudi;Male;74465
2018;65 - 69;Saudi;Male;153429
2018;10 - 14;Saudi;Female;952700
2018;55 - 59;Saudi;Female;319715
2018;55 - 59;Non-Saudi;Male;416427
2016;55 - 59;Saudi;Male;336326
