Daily / Cumulative;Indicator;Date;Event;region;City;Cases
Daily;Recoveries;2020-04-21;;Medina;Medina;6
Daily;Recoveries;2020-04-21;;Riyadh;Kharj;0
Daily;Recoveries;2020-04-21;;Mecca;Hadda;0
Daily;Recoveries;2020-04-21;;Mecca;Alhadda;0
Daily;Recoveries;2020-04-21;;Medina;Mahd Al Dhahab;0
Daily;Recoveries;2020-04-21;;Qassim;Riyadh Al Khabra;0
Daily;Recoveries;2020-04-21;;Mecca;Al Qunfudhah;0
Daily;Recoveries;2020-04-21;;Hail;Ha'il;0
Daily;Recoveries;2020-04-21;;Mecca;Alqarei;0
Daily;Recoveries;2020-04-21;;Al Bahah;Al Aqiq;0
Daily;Recoveries;2020-04-21;;Al Bahah;Al Mandaq;0
Daily;Recoveries;2020-04-21;;Mecca;Al Lith;0
Daily;Recoveries;2020-04-21;;Asir;Al Madda;0
Daily;Recoveries;2020-04-22;;Mecca;Mecca;0
Daily;Recoveries;2020-04-22;;Asir;Abha;2
Daily;Recoveries;2020-04-22;;Medina;Al Ula;0
Daily;Recoveries;2020-04-22;;Qassim;Al Bukayriyah;1
Daily;Recoveries;2020-04-22;;Mecca;Alhadda;0
Daily;Recoveries;2020-04-22;;Riyadh;Al Duwadimi;0
Daily;Recoveries;2020-04-22;;Najran;Najran;2
Daily;Recoveries;2020-04-22;;Jazan;Sabya;0
Daily;Recoveries;2020-04-22;;Jazan;Jazan;0
Daily;Recoveries;2020-04-22;;Eastern Region;Dahran;3
Daily;Recoveries;2020-04-22;;Asir;Al Majarda;0
Daily;Recoveries;2020-04-22;;Riyadh;Az Zulfi;0
Daily;Recoveries;2020-04-22;;Jazan;Aridah;0
Daily;Recoveries;2020-04-23;;Medina;Wadi Al Fara'a;0
Daily;Recoveries;2020-04-23;;Qassim;Uqlat as Suqur;0
Daily;Recoveries;2020-04-23;;Al Jouf;Domat Al Jandal;0
Daily;Recoveries;2020-04-23;;Riyadh;Al Quwaiiyah;0
Daily;Recoveries;2020-04-23;;Al Jouf;Sakakah;0
Daily;Recoveries;2020-04-23;;Eastern Region;Dammam;4
Daily;Recoveries;2020-04-23;;Qassim;Al Mithnab;0
Daily;Recoveries;2020-04-23;;Riyadh;Kharj;0
Daily;Recoveries;2020-04-23;;Medina;Mahd Al Dhahab;0
Daily;Recoveries;2020-04-23;;Asir;Khamis Mushait;0
Daily;Recoveries;2020-04-23;;Total;Total;124
Daily;Recoveries;2020-04-23;;Eastern Region;Bqeeq;0
Daily;Recoveries;2020-04-23;;Mecca;Al Khurma;0
Daily;Recoveries;2020-04-23;;Al Bahah;Al Mandaq;0
Daily;Recoveries;2020-04-23;;Qassim;Al Badayea;0
Daily;Recoveries;2020-04-23;;Eastern Region;Ras Tanura;0
Daily;Recoveries;2020-04-23;;Mecca;Bani Malek;0
Daily;Recoveries;2020-04-23;;Mecca;Khulais;0
Daily;Recoveries;2020-04-23;;Jazan;Aridah;0
Daily;Recoveries;2020-04-24;;Riyadh;Wadi Addawasir;0
Daily;Recoveries;2020-04-24;;Eastern Region;Hufof;18
Daily;Recoveries;2020-04-24;;Northern Borders;Arar;3
Daily;Recoveries;2020-04-24;;Qassim;Uqlat as Suqur;0
Daily;Recoveries;2020-04-24;;Eastern Region;Qatif;10
Daily;Recoveries;2020-04-24;;Al Jouf;Sakakah;1
